SKU,Quantity,ProductCategory,ProductName,Margin,AverageDiscount,OrderCount_Ratio_Discounted_vs_FullPrice,Seasonality
9-4357000491|EE0438|80,2.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Εσώρουχα / Γυναικεία Σουτιέν,"Luna γυναικείο σουτιέν ¾ με ελαφριά ενίσχυση Cup D ""Melody"" Μπεζ 80",17.52,0.0,0.0,december
9-4447000208|ED2063|070,2.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Παπούτσια / Γυναικεία Πέδιλα & Σανδάλια,"Timberland  γυναικεία πέδιλα με λουράκια ""Clairemont Way"" Μαύρο 38",36.03,39.9,inf,july-august
9-4842000573|EA0556|2,0.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Κορίτσια / Παιδικά Φορέματα για Κορίτσια",Boboli παιδικό φόρεμα με floral print Γαλάζιο 2Y,17.18,0.0,0.0,april
9-4842000596|EE0018|4,1.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικές Μπλούζες για Αγόρια / Παιδικά T-Shirts για Αγόρια",Boboli παιδική μπλούζα με tropical print Λευκό 4Y,39.66,5.38,inf,may
9-4842000600|EE0018|6,1.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικά Σετ Ρούχων για Αγόρια",Boboli παιδικό σετ μπλούζα και σορτς με summer print Λευκό 6Y,36.19,0.0,0.0,april
9-4842000602|EA0556|4,0.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικές Ζακέτες για Αγόρια",Boboli παιδική ζακέτα φούτερ με κουκούλα και all-over print Πολύχρωμο 4Y,17.44,9.88,inf,may
9-4862000909,6.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Toilette,L'Occitane Neroli & Orchidee Eau de Toilette 75 ml ,17.55,16.25,2.0,january-february
9-4896003661,19.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Χειλιών / Μολύβια Χειλιών,Kiko Milano Smart Fusion Lip Pencil 11 Coral,44.6,0.0,0.0,november
9-4896003755,12.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Χειλιών / Κραγιόν,Kiko Milano Gossamer Emotion Creamy Lipstick New 109 Amaranth,26.23,0.0,0.0,january
9-4985000072,4.0,Προϊόντα Ομορφιάς / Αντηλιακά / Αντηλιακά Προσώπου,Sisley Super Soin Solaire Facial Sun Care SPF 30 40 ml Golden,26.12,33.98,1.0,june-july
9-4985000533,3.0,Προϊόντα Ομορφιάς & Καλλυντικά / Περιποίηση Προσώπου / Ενυδάτωση - Αντιγήρανση Προσώπου / Έλαια,Sisley Black Rose Precious Face Oil 25 ml,39.38,83.26,inf,november
9-5279000147|ED8098|04,0.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικές Μπλούζες Πολο,Prince Oliver ανδρική μπλούζα πόλο πικέ κοντομάνικη με κεντημένο λογότυπο Regular Fit Γκρι XL,43.42,0.0,0.0,april-may
959207703014,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Ματιών / Μακιγιάζ & Μολύβια Φρυδιών,"Estée Lauder Brow Now Brow Defining Pencil Estée Lauder Brow Now Brow Defining Pencil 03 Brunette 1,2 gr.",44.58,13.29,inf,july
103495,1.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Σαμπουάν - Αφρόλουτρα & Σαπούνια,Issey Miyake L'Eau d'Issey Pour Homme Shower Gel  200 ml,37.6,10.3,0.4,june
1041216,2.0,Προϊόντα Ομορφιάς / Περιποίηση Προσώπου / Ενυδάτωση & Αντιγήρανση Ματιών / Κρέμες & Gel,Sensai Cellular Performance Eye Contour Cream 15 ml,26.29,36.7,inf,january
1048043,4.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Parfum - Parfum,Zadig & Voltaire This is Her! Eau de Parfum 30ml,17.51,19.7,2.4,november-december
1055912,2.0,Προϊόντα Ομορφιάς / Περιποίηση Προσώπου / Ντεμακιγιάζ & Καθαρισμός Προσώπου / Gel Καθαρισμού Προσώπου & Γαλακτώματα,Shiseido Perfect Cleansing Oil 180 ml,38.31,18.43,10.0,april-may
1059622,4.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Χειλιών / Lip Gloss,Clarins Lip Comfort Oil 03 Cherry,31.75,10.32,10.0,september-november
1059625,4.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Χειλιών / Lip Gloss,Clarins Lip Comfort Oil 10 Plum,27.73,9.87,1.0,april
1059784,2.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Clarins Skin Illusion Velvet Clarins Skin Illusion Velvet 107 Beige 30 ml,42.19,14.52,inf,july
1059850,4.0,Προϊόντα Ομορφιάς / Περιποίηση Σώματος / Ενυδάτωση Σώματος  / Λάδια Σώματος,Clarins Contour Body Treatment Oil Contouring/Strengthening 100 ml,18.34,20.88,inf,may
12309987,0.0,Home / ΓΡΑΦΕΙΟ / Γραφική Ύλη / Στυλό,Faber-Castell Στυλό Trilux Μπλε,29.78,0.14,1.0,october-december
35H1803|LBCK|TS,1.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικά Εσώρουχα / Ανδρικά Μποξεράκια,Lacoste σετ ανδρικά εσώρουχα boxer με λογότυπο (3 τεμάχια) Μπλε Σκούρο S,15.34,18.8,inf,july-august
37-45SMA00012G9|0000|7+,2.0,Ανδρική Μόδα / Ανδρικά Παπούτσια / Ανδρικά Sneakers,"Lacoste ανδρικά trainers ""L003 Neo 123 1 Sma"" Μπεζ 41",29.06,67.82,inf,february
3G2009027|G0433|L,2.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Βερμούδες,Gant ανδρική βερμούδα με ελαστική μέση και κεντημένο λογότυπο Regular Fit Μπλε Σκούρο L,16.69,49.88,inf,july
3G2013033|G0433|L,3.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικά T-Shirts,Gant ανδρικό T-shirt πικέ με κεντημένο λογότυπο Slim Fit Μπλε Σκούρο L,18.56,23.25,inf,july
3NCV41050|NC4NN|XXL,2.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικά T-Shirts,Nautica ανδρικό T-shirt μονόχρωμο με τσέπη Γαλάζιο XXL,18.53,12.25,inf,june
9-0527010271|EE0013|11,1.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Κορίτσια / Αξεσουάρ για Κορίτσια / Παιδικές Τσάντες για Κορίτσια",Alouette παιδικό σακίδιο πλάτης Unicorn Μοβ ONE SIZE,34.48,0.0,0.0,may
909207702235,3.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Estée Lauder Double Wear Stay-In-Place Makeup SPF 10 2N1 Desert Beige,37.38,22.25,9.0,july
909278500034,2.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Ματιών / Eyeliners,Lancôme Artliner Lancôme Artliner 01 Noir 1.4 ml,32.5,16.76,inf,july
9-3686001952|EE0847|1SZ,0.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικείες Τσάντες / Γυναικεία Clutch & Φάκελοι,"Valentino γυναικείος φάκελος/crossbody με μεταλλικό λογότυπο ""Sofie"" Μαύρο ONE SIZE",43.87,0.0,0.0,march-april
9-4508000047|EE0019|33-34,2.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικά Παντελόνια / Ανδρικά Παντελόνια Chinos,JACK & JONES Ανδρικό παντελόνι chino Marco Bowie Μαύρο 33W 34L,26.25,15.5,inf,july-august
9-4552000562|EE1059|41-46,5.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Κάλτσες / Ανδρικές Κάλτσες Κοντές,Happy Socks unisex κοντές κάλτσες σε διάφορα σχέδια (Σετ 2 τεμάχια) Μαύρο 41/46,23.57,4.48,0.4,april-may
9-4622000037,1.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / After Shave Αρωμάτων,Hugo Boss The Scent After Shave Lotion Eau de Toilette 100 ml,41.06,0.0,0.0,september
9-4622000186,2.0,Προϊόντα Ομορφιάς & Καλλυντικά / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Eau de Parfum - Parfum,Hugo Boss Bottled Elixir Parfum 50ml,21.71,46.76,inf,november
9-4724000003|EB2698|95,0.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Εσώρουχα / Γυναικεία Σουτιέν,"Selene γυναικείο σουτιέν μονόχρωμο ""Elvira"" Cup D Μπεζ 95",43.9,0.0,0.0,april
9-4896001073,4.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Προϊόντα Νυχιών / Βερνίκια Νυχιών,Kiko Milano Smart Nail Lacquer 04 Rosy Nude,15.36,1.2,0.11,october-november
9-4896001075,10.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Προϊόντα Νυχιών / Βερνίκια Νυχιών,Kiko Milano Smart Nail Lacquer 06 Dark Mauve,44.1,0.0,0.0,october-november
9-4896001078,6.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Προϊόντα Νυχιών / Βερνίκια Νυχιών,Kiko Milano Smart Nail Lacquer 10 Geranium Red,16.29,0.0,0.0,june
9-4896002069,11.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Χειλιών / Κραγιόν,Kiko Milano Metal Liquid Lip Colour 02 Vintage Rose,41.73,2.1,0.12,july-august
9-4896002142,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Χειλιών / Κραγιόν,Kiko Milano Powder Power Lipstick 13 Vermillion,30.83,5.24,inf,july-august
9-4896004137,13.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Ματιών / Μάσκαρα Ματιών,Kiko Milano New Maxi Mod Waterproof Mascara 12 ml,44.79,0.0,0.0,june-july
9-4896004143,6.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Ματιών / Σκιές Ματιών,Kiko Milano Water Eyeshadow 06 Light Taupe,17.21,0.0,0.0,august-september
9-4896004663,9.0,Προϊόντα Ομορφιάς / Περιποίηση Προσώπου / Ντεμακιγιάζ & Καθαρισμός Προσώπου / Απολέπιση - Peeling Προσώπου,Kiko Milano New Pure Clean Scrub 75 ml,31.62,3.0,0.09,may
9-4896004689,40.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Χειλιών / Μολύβια Χειλιών,Kiko Milano Smart Fusion Lip Pencil 05 Vintage Rose,44.08,1.5,0.1,january-december
9-4896005101,12.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Ματιών / Μολύβια Ματιών,"Kiko Milano Unlimited Precision Automatic Eyeliner & Khol 0,35 gr 13 Dark Chocolate",30.69,0.0,0.0,march-april
9-4896005123,10.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Προσώπου / Ρουζ,Kiko Milano Unlimited Blush 6 gr 03 Golden Coral,33.88,4.05,0.25,january-march
9-4896005144,6.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Ματιών / Σκιές Ματιών,"Kiko Milano Dazzling Daydream Eyeshadow Palette 3,5 gr",35.87,0.0,0.0,february
9-4896005247,8.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Ματιών / Μάσκαρα Ματιών,"Kiko Milano Longeyes Plus Active Mascara 7,5 ml",28.64,0.0,0.0,march
9-4896005250,9.0,Προϊόντα Ομορφιάς & Καλλυντικά / Περιποίηση Προσώπου / Ενυδάτωση - Αντιγήρανση Προσώπου / Serums,Kiko Milano New Hydra Pro Serum 30 ml,33.83,0.0,0.0,april-may
9-4896005257,7.0,Προϊόντα Ομορφιάς & Καλλυντικά / Περιποίηση Προσώπου / Ενυδάτωση - Αντιγήρανση Προσώπου / BB & CC Creams,Kiko Milano Daily Protection BB Cream SPF30  02 Porcelain,32.53,0.0,0.0,march-may
9-4896005357,5.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Χειλιών / Κραγιόν,"Kiko Milano Gossamer Emotion Creamy Lipstick 3,5 gr 105 Pinkish Brown",42.03,0.0,0.0,may
9-5035000007|EE0018|41,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Παπούτσια / Γυναικεία Sneakers / Με Κορδόνια,"Camper γυναικεία sneakers μονόχρωμα ""Runner Up"" Λευκό 41",16.36,54.0,inf,august
9-5035000029|EE0019|41,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Παπούτσια / Γυναικεία Πέδιλα & Σανδάλια,"Camper γυναικεία μονόχρωμα πέδιλα κλειστά ""Dana"" Μαύρο 41",23.43,61.88,inf,june-july
9-5035000196|EE0019|38,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Παπούτσια / Γυναικεία Πέδιλα & Σανδάλια,"Camper γυναικεία πέδιλα ""Kora Sandal"" Μαύρο 38",43.51,31.25,inf,april-may
9-5036000015|EE0019|42,1.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Παπούτσια / Ανδρικά Sneakers,"Camper ανδρικά δερμάτινα παπούτσια με ελαστικά κορδόνια ""Peu Touring"" Μαύρο 42",41.71,42.03,inf,november-december
9-5036000169|EE0334|43,2.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Παπούτσια / Ανδρικά Sneakers,"Camper ανδρικά suede sneakers ""Pelotas XLite"" Πράσινο Σκούρο  43",28.67,34.5,inf,may
103484,8.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Eau de Toilette,Issey Miyake L'Eau d'Issey Pour Homme Eau de Toilette Spray 125ml,33.6,40.11,6.0,may-july
1039712,4.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Toilette,Versace Yellow Diamond EdT Versace Yellow Diamond EdT 30 ml,23.32,19.47,inf,july
1049923,4.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Πινέλα Μακιγιάζ,Sensai Liquid Foundation Brush,20.64,0.0,0.0,october
1059619,4.0,Προϊόντα Ομορφιάς / Προϊόντα Ανδρικής Περιποίησης  / Ανδρική Περιποίηση Σώματος / Aνδρικά Αποσμητικά,Clarins ClarinsMen Antiperspirant Deo Roll On 50 ml,28.91,8.55,inf,may
1059760,2.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Sensai Flawless Satin Moisture Foundation 30 ml Sensai Flawless Satin Moisture Foundation 30 ml FS102 Ivory Beige,25.6,18.11,2.0,january-december
1059827,4.0,Προϊόντα Ομορφιάς / Αντηλιακά / Αντηλιακά Προσώπου,Shiseido Urban Environment Age Defense Oil-Free Spf30 30 ml,32.51,17.73,1.17,february
12310451,16.0,Home / ΔΙΑΚΟΣΜΗΣΗ / Γραφείο / Διακοσμητικά Γραφείου,Faber-Castell  κόλλα stick 10gr,17.33,0.35,0.29,august
12310783,4.0,Home / ΓΡΑΦΕΙΟ / Γραφική Ύλη / Ξύστρες,"Faber-Castell διπλή ξύστρα βαρελάκι ""Roll-Οn""",44.23,1.43,inf,november-december
3CJ2501025|B595IN|T56,1.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικά Τζιν / Ανδρικά Τζιν Straight,The Bostonians ανδρικό τζιν παντελόνι πεντάτσεπο Regular Fit Denim Blue 56,44.59,0.0,0.0,march
3G2013042|G0113|XL,1.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικές Μπλούζες Πολο,Gant ανδρική πόλο μπλούζα πικέ με τσέπη και contrast ρίγες στα τελειώματα Regular Fit Λευκό XL,35.94,27.0,inf,july
3G2013042|G0403|S,1.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικές Μπλούζες Πολο,Gant ανδρική πόλο μπλούζα πικέ με τσέπη και contrast ρίγες στα τελειώματα Regular Fit Μπλε S,31.08,36.0,inf,august
3GS30638908|G69|43,2.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Παπούτσια / Ανδρικά Sneakers,"Gant ανδρικά υφασμάτινα sneakers ""San Prep"" Μπλε Σκούρο 43",24.29,25.0,inf,may
3PS1050|B001WH|TM,1.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικές Μπλούζες Πολο,The Bostonians ανδρική πόλο μπλούζα πικέ με κεντημένο λογότυπο Regular Fit Λευκό M,39.41,24.0,inf,june
900470700084,1.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Parfum - Parfum,Mugler Angel Eau de Parfum Refill 100 ml,35.54,52.99,4.0,july
9-0527010682|EE1754|11,0.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Κορίτσια / Αξεσουάρ για Κορίτσια / Αξεσουάρ Μαλλιών για Κορίτσια",Alouette παιδική κορδέλα με ρυθμιζόμενο φιόγκο Μπορντό ONE SIZE,19.88,0.0,0.0,march
9-4621000064,1.0,Προϊόντα Ομορφιάς & Καλλυντικά / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Parfum - Parfum,Calvin Klein Women Eau de Parfum Intense Calvin Klein Women Eau de Parfum Intense 30 ml,42.33,25.36,inf,april
1052040,3.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Προσώπου / Ρουζ,Sensai Blooming Blush 05 Blooming Beige 4,39.68,9.68,1.0,february
1052534,2.0,Προϊόντα Ομορφιάς & Καλλυντικά / ΑΡΩΜΑΤΑ / Unisex Αρώματα / Eau de Toilette,Hermès Un Jardin sur la Lagune Eau de Toilette 50ml,43.49,14.98,inf,april
1056924,1.0,Προϊόντα Ομορφιάς & Καλλυντικά / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Αφρόλουτρα & Σαπούνια,Givenchy Irresistible Bath & Shower Oil 200 ml,36.77,14.37,inf,april
1080297,1.0,Προϊόντα Ομορφιάς & Καλλυντικά / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Toilette,Guerlain Aqua Allegoria Orange Soleia - Eau De Toilette 75 ml,33.4,36.87,inf,april
3200957048001|P0000|M,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Πουκάμισα / Γυναικεία Πουκάμισα Casual,Lauren Ralph Lauren γυναικείο πουκάμισο crepe με print Straight Fit Πολύχρωμο M,27.55,47.7,inf,may
1080195,7.0,Προϊόντα Ομορφιάς & Καλλυντικά / Προϊόντα Ανδρικής Περιποίησης  / Ανδρικό Ξύρισμα,Yves Rocher Shaving Foam Aerosol 200 ml,42.98,4.02,inf,april
1080201,3.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Eau de Parfum - Parfum,Terre d'Hermès Eau Givrée Eau de Parfum 100ml,40.98,41.67,3.0,may
3200811955005|P0000|10,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Παντελόνια / Παντελόνια Slim Fit Γυναικεία,Lauren Ralph Lauren γυναικείο chino παντελόνι μονόχρωμο Skinny Fit Λευκό 44,16.36,50.7,inf,may
3200951368001|P0000|S,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Τοπ / Γυναικεία T-Shirts,Lauren Ralph Lauren γυναικείο T-shirt με κέντημα Lion-Crest  Λαδί S,15.79,66.26,inf,january-february
3G2003310|G0630|XL,2.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικά T-Shirts,Gant ανδρικό T-shirt με logo print Regular Fit Κόκκινο XL,26.29,8.0,inf,april
3G205066|G0248|32,2.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Βερμούδες,Gant ανδρική chino βερμούδα Comfort Stretch Casual Fit Μπεζ 32,39.32,38.0,inf,july
3G205069|G0410|40,1.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Βερμούδες / Ανδρικές Βερμούδες Cargo,Gant ανδρική cargo βερμούδα Comfort Stretch Relaxed Fit Μπλε Σκούρο 40,44.62,36.73,inf,june-july
3G3250038|G0407|L,0.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικά Πουκάμισα / Ανδρικά Πουκάμισα Casual,Gant ανδρικό πουκάμισο button down από λινάρι και βαμβάκι με ριγέ σχέδιο και τσέπη με λογότυπο Regular Fit Μπλε L,19.51,0.0,0.0,march
3G9940170|G0433|105,1.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Αξεσουάρ / Ανδρικές Ζώνες,Gant ανδρική ζώνη με πλεκτό σχέδιο και ανάγλυφο λογότυπο Μπλε Σκούρο 105cm,32.82,0.0,0.0,april
3GW4200560|G0433|M,2.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Τοπ / Γυναικείες Μπλούζες Αμάνικες,Gant γυναικεία μπλούζα πόλο αμάνικη πικέ με κεντημένο λογότυπο Regular Fit Μπλε Σκούρο M,26.43,15.0,inf,may
3GW4200573|G0433|L,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Τοπ / Γυναικεία T-Shirts,Gant γυναικείο T-shirt με κεντημένο anchor logo Relaxed Fit Μπλε Σκούρο L,44.1,9.0,inf,may
3GW4805331|G0433|M,2.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Πλεκτά / Γυναικεία Πουλόβερ,Gant γυναικεία πλεκτή μπλούζα ribbed με ριγέ σχέδιο Regular Fit Μπλε Σκούρο M,40.26,26.0,inf,may
3TH9894|L132|T5,2.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικά T-Shirts,Lacoste ανδρικό T-shirt με washed effect και κεντημένο λογότυπο Regular Fit Πράσινο L,40.15,17.0,inf,may
3TIE00482|B050GY|T00,0.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Αξεσουάρ / Ανδρικές Γραβάτες & Παπιγιόν,"The Bostonians ανδρική γραβάτα με ριγέ σχέδιο ""Acorn"" Γκρι ONE SIZE",29.06,27.5,inf,february
3TJ2539|LCCA|T4A,1.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικές Μπλούζες για Αγόρια",Lacoste παιδική μακρυμάνικη μπλούζα με graphic logo Γκρι 4Y,27.44,18.0,inf,january
3TJ8431|L2CQ|T4A,1.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικές Μπλούζες για Αγόρια / Παιδικά T-Shirts για Αγόρια",Lacoste παιδικό T-shirt με contrast trims και κεντημένο λογότυπο Comfortable Cut Λευκό 4Y,23.2,9.0,inf,may
3TS1287N|B001WH|TL,4.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικά T-Shirts,"The Bostonians ανδρικό T-shirt πικέ με two-tone logo print Regular Fit ""Tech"" Λευκό L",16.69,0.0,0.0,may
900240501229,1.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Eau de Parfum - Parfum,Yves Saint Laurent Myslf Eau de Parfum 150ml,40.94,60.34,inf,july
9-0995032973|EE0011|16,1.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικές Μπλούζες για Αγόρια / Παιδικά T-Shirts για Αγόρια","Alouette παιδική μπλούζα με τύπωμα ""Gym Tonic"" (6 - 16 ετών) Λευκό 16Y",39.39,5.2,inf,may
9-2212001974|ED7501|.,0.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικείες Τσάντες / Γυναικείες Τσάντες Ώμου & Shopper Bags,Coccinelle γυναικεία τσάντα ώμου πουγκί με ανάγλυφο λογότυπο Λαδί ONE SIZE,44.99,70.0,inf,may
927278503665,0.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Χειλιών / Κραγιόν,Lancôme L'Absolu Rouge Cream 6 Rose Nu,44.9,15.36,inf,november
9-3007002611,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,"Dior Forever Skin Glow 24h Hydrating Radiant Foundation - Clean 1,5N Neutral",31.66,19.17,inf,january
9-3007002621,1.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,"Dior Forever Skin Glow 24h Hydrating Radiant Foundation - Clean 3,5N Neutral",38.07,19.17,inf,january
9-3007002793,1.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Χειλιών / Κραγιόν,Dior Rouge Dior Forever - Transfer - Proof Lipstick - Ultra Pigmented Matte 558 Forever Grace,43.34,15.27,inf,april
9-3007002918,0.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Ματιών / Μακιγιάζ & Μολύβια Φρυδιών,Dior Diorshow Brow Styler Brow Pencil - Waterproof - High Precision Dior Diorshow Brow Styler Brow Pencil - Waterproof - High Precision 02 Chestnut,40.49,0.0,0.0,june
9-3007002941,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Ματιών / Σκιές Ματιών,Dior Diorshow 5 Couleurs Eye Palette - Creamy Texture - Long Wear and Comfort 743 Rose Tulle,22.42,22.47,inf,november
9-3308012433|EE0039|34,2.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Βερμούδες / Ανδρικές Βερμούδες Cargo,"Timberland ανδρική cargo βερμούδα ""Brookline"" Μπλε 34",28.52,44.78,inf,july-august
9-3308012621|ED5669|M,9.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικά T-Shirts,Timberland ανδρικό T-shirt μονόχρωμο με κεντημένο λογότυπο Slim Fit Καφέ M,18.87,15.0,inf,march
9-3308012663|EA8484|M,2.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικά T-Shirts,"Timberland ανδρικό T-shirt με κεντημένο tree logo Authentic Fit ""Dunstan River Garment Dye"" Ροζ M",43.62,7.0,inf,may
