SKU,Quantity,PopularMonths
1083699,3.0,april
3G2062034|G0779|3XL,1.0,july
3NCN7R02864|NC504|L,1.0,april
919300800158,1.0,february
9-2077004249,2.0,july
925240500917,1.0,december
925278503270,1.0,january-february
925278503274,1.0,july
9-3308012100|EE0039|L,9.0,april
9-4357000211|EE0019|XL,1.0,january
9-4842000602|EA0556|3,0.0,april
9-4862000804,3.0,april
9-4862000809,4.0,april
9-4862001034,4.0,december
9-4866000080,2.0,august
9-4896003664,1.0,november-december
9-4975000042|EA0415|XL,1.0,july
9-5289000015,6.0,october-december
1053278,4.0,may
1082491,4.0,december
1058239,2.0,december
1058505,6.0,november
1082919,5.0,july-august
1083571,6.0,may
1083615,4.0,december
9-2077003865,3.0,july
9-3008000672,2.0,april
9-3047000760|EE0317|ONESIZE,1.0,july-august
9-3233002399|EE9522|U,1.0,may
9-3241005022|EB8175|M,2.0,may
9-3308012138|EE0018|M,2.0,july
9-4357000043|EE0019|L,6.0,december
9-4357000211|EE0019|M,1.0,november
9-4577000030|EE0018|390,3.0,july
9-4630000186,1.0,january
9-4690000052|EE2293|OS,1.0,march
9-4862001056,3.0,march-may
9-4896001780,3.0,september
9-4896001784,31.0,october
9-4896001834,1.0,january
9-4896001858,11.0,january
9-4896003565,5.0,february
9-4896003918,4.0,july-august
9-4896003939,0.0,november-december
9-4985000144,0.0,april
9-4985000710,1.0,november
9-5289000045,3.0,april
1053268,0.0,april
1054869,4.0,december
1082470,9.0,november-december
1082647,3.0,november
1082729,3.0,february
1083776,2.0,november-december
1083822,12.0,april
1083590,8.0,january-december
1082731,2.0,july
1082950,2.0,july
1083574,2.0,january-april
3GW4150348|G0005|40,1.0,may
3TF0352|LH5I|T42,1.0,may
9-2077004129,1.0,january
925278503283,1.0,april
925278503406,1.0,july
9-2889014408|EE0334|S,1.0,april
9-3309010167|ED8724|085,0.0,may
9-4559001593|ED2028|T/U,2.0,april
9-4633000158,1.0,june
9-4686000697|EB0180|S,1.0,march-april
9-4896001790,7.0,june-july
9-4896003466,7.0,march
9-4896003731,34.0,november
9-4896003901,13.0,november-december
9-4985000026,2.0,october-december
9-4985000116,1.0,july
9-4985000226,1.0,november
9-4985000794,2.0,january
1041351,3.0,february
1048170,4.0,june
1049906,5.0,september
1059792,1.0,june
1059861,3.0,october
10684404,1.0,september-october
12309461,3.0,october-december
3200654963185|P0000|L,1.0,march
35H3401|LB68|TS,1.0,february
3G2013033|G0005|L,4.0,july-august
3NCV41050|NC4NV|XXXL,5.0,may
9-3504001736|EE0865|LARGE,1.0,december
9-4621000075,1.0,april
9-4724000010|EB2698|XXL,2.0,november
9-4724000053|EE0379|L,1.0,november
9-4896000350,12.0,august
9-4896000907,24.0,october-november
9-4896001085,8.0,june-august
9-4896001106,4.0,july
9-4896001114,1.0,june
9-4896002058,4.0,may-july
9-4896002062,1.0,july-august
9-4896002127,18.0,october-december
9-4896004934,0.0,november-december
9-4896004957,35.0,january-december
9-4896005097,2.0,february-march
9-4896005331,8.0,april
9-4896005337,4.0,april
9-4896005343,9.0,april-may
9-4896005349,4.0,march-may
9-5000000307|EA0085|M,3.0,january
9-5035000038|EE0019|37,1.0,march-april
1039713,5.0,september
1055973,5.0,july
12310535,2.0,july-september
35H3411|LVDP|TXL,1.0,january-february
3CH9083|LBLI|T44,1.0,april-may
3G2013042|G0113|3XL,1.0,july-august
3G2013042|G0403|XL,6.0,july-august
900470700086,1.0,july
9-0280000514,1.0,february-march
909207702236,1.0,april
9-2077003340,4.0,february
9-3308011730|EE0034|32,1.0,august
9-3308011850|EC6140|L,3.0,june-july
9-4508000047|EE0019|32-32,3.0,november
9-4520000271|EE5257|46,2.0,january
9-4621000201,5.0,april
9-4669000849|EB0180|8,1.0,january
9-4724000005|EB2698|80,1.0,march
9-4724000011|EB2698|XXL,1.0,february
9-4856000115|EC4975|ONE,1.0,may
9-4857000122|EC0961|39,0.0,may
9-4896000315,1.0,january
9-4896000742,15.0,may
9-4896000914,0.0,june-july
9-4896001080,1.0,july-august
9-4896004061,6.0,january-february
9-4896004211,10.0,november
9-4896004268,3.0,june
9-4896004435,7.0,december
9-4896004443,3.0,january-december
9-4896004622,4.0,july
9-4896004651,6.0,february
9-4896004867,9.0,may
9-4896004918,4.0,may
9-4896004962,5.0,may
9-4896004970,10.0,january-december
9-4896004977,15.0,april
9-4896005274,6.0,march-april
9-4896005318,2.0,april-may
9-5022000102|EE2318|NS,1.0,april
9-5035000188|EE0019|40,2.0,may
9-5036000155|EE0018|44,0.0,may
969300800304,1.0,october-november
969300800312,1.0,september
998278503013,1.0,july
1058746,1.0,october-november
1059057,3.0,december
1080407,2.0,november
1080434,3.0,july
1080589,4.0,september-october
1083856,2.0,january-may
1084064,3.0,october-november
1084320,3.0,november-december
1084376,1.0,november-december
1085300,3.0,april
1058917,2.0,november
1083842,1.0,january
12308077,23.0,november-december
3412802952004|P0000|M,2.0,may
12305551,1.0,february
3NCV41050|NC0TB|S,2.0,june
3TH8917|L031|T5,3.0,april
900278504370,1.0,november
900278504372,1.0,november
900278800961,0.0,january-december
9-2077003464,5.0,november
9-2077003505,2.0,january-february
9-2077003564,5.0,july-august
9-2077003566,1.0,october-november
9-2077003806,6.0,november
9-2891006616|EE0381|34,0.0,april
9-5142000018|EE6930|XXL,0.0,may
9-5142000021|EE2556|L,5.0,january-december
9-5143000016|EA2949|M,2.0,february
9-5143000176|EE6529|M,0.0,may
979278502556,1.0,january
1031226,4.0,september
1033073,3.0,november
1051572,0.0,january
1056821,0.0,august
1080256,3.0,july
3200963933001|P0000|M,2.0,may
3200951232001|P0000|6,0.0,february
3CH0197|LCDZ|T40,0.0,february
3CH0197|LCDZ|T46,0.0,november-december
3G2003310|G0113|XXL,1.0,may
3G205069|G0248|31,0.0,july
3G3250082|G0318|M,2.0,may
3GW4200564|G0277|M,0.0,may
3GW4200573|G0113|XXL,0.0,may
3GW4200573|G0433|XL,0.0,april-may
3NCS47001|NC46H|M,0.0,december
3TH9894|LI1K|T6,1.0,may
900240501142,0.0,january-december
9-0995032331|EE0017|6,1.0,august
9-2212001823|ED2532|.,1.0,may
927278503660,1.0,july
9-3007002872,1.0,january-december
9-3007002875,1.0,april
9-3308012437|EE0034|L,5.0,may
9-3308012437|EE0034|XXL,2.0,july
9-3308012457|EE0019|M,1.0,february
9-3308012458|EE0034|3XL,0.0,january
9-3308012486|EC6164|XL,3.0,may-june
9-3308012621|ED5669|L,12.0,february
9-3371018454|EE0018|13-14,1.0,august
9-3371018509|EE0051|12-13,2.0,may
9-3371018786|EE0018|12-13,1.0,may
9-4137001131|EE2973|C9,2.0,july
9-4560000228|ED8969|34,1.0,may
9-4574001584|EA5434|7,0.0,april
9-4574001613|EB9285|9,0.0,may
9-4603000064|EE0039|020,1.0,july
9-4896002454,6.0,september-october
9-4896002463,12.0,march-april
9-4896002585,3.0,october
9-4896002631,13.0,june
9-4947000109|EE7959|XL,3.0,may
9-4947000338|EE1149|M,2.0,march-april
9-4947000471|EE1149|L,1.0,may
9-5103000054|ED7661|41,1.0,april
9-5235000036|ED6292|OS,2.0,november
980207700011,3.0,january
1013639,4.0,november
1031225,4.0,september
1033071,3.0,july
1034820,2.0,december
1051505,3.0,november
1051507,3.0,january
1057396,3.0,december
2-7137002909,0.0,january-february
3200940301001|P0000|6,0.0,october
1057436,3.0,september
1057473,4.0,october-december
1080183,3.0,december
1080204,8.0,december
3200963871002|P0000|XL,0.0,may
3G3250046|G0989|L,2.0,may
3G905251-1|G0401|134+,1.0,may
3GW4200564|G0277|S,1.0,may
3NCK41050|NC4NN|M,4.0,june-july
3NCK41050|NC6NR|L,8.0,june-july
3NCS47001|NC1MA|L,0.0,march
9-0995032998|EE0225|12,1.0,may
9-0995033064|EE1754|6,1.0,may
9-0995033097|EE1754|12,1.0,may
9-2212001962|EE6729|.,1.0,may
927278800786,1.0,july
9-3007002803,1.0,april
9-3007002928,1.0,september
9-3007002953,2.0,november
9-3007003053,1.0,december
9-3007003214,0.0,april
9-3308012434|EE0034|33,2.0,july
9-3308012464|EA5968|3XL,1.0,june-july
9-3308012623|EE0019|M,0.0,january-february
9-3308012703|ED8723|L,6.0,may
9-3308012715|ED0251|3XL,2.0,may
9-3308012718|EE0039|3XL,1.0,may
9-3371018751|EE1664|10-11,2.0,august
9-3371018766|EE1661|10-11,1.0,august
9-3371018894|EE0018|14-15,1.0,july
935278800815,1.0,january
939207702618,4.0,january-december
939207702621,3.0,august
9-4065001414|EE0019|M7/W9,0.0,april
9-4560000216|EE0215|24,1.0,april
9-4574001621|EE0005|12,1.0,may
9-4574001654|EB9285|4,2.0,april-may
9-4574001663|EE0011|3,0.0,april
9-4599000503|EE0004|18M,1.0,may
9-4600000169|EE4955|NS,1.0,february
9-4862000030,4.0,january
9-4862000183,4.0,september
9-4862000308,4.0,july-august
9-4862000329,1.0,november
9-4862000339,4.0,september
9-4896001395,20.0,may-june
9-4896001398,20.0,october-november
9-4896002391,9.0,july-august
9-4896002515,0.0,june
9-4896002630,14.0,january
9-4946000445|EE1149|L,1.0,may
9-4947000251|EE1149|L,0.0,july
9-5238000003,1.0,october-december
1043157,0.0,october
1057818,2.0,june
1082042,1.0,november
1082432,0.0,march
1083520,2.0,march
1083531,4.0,april
1083566,5.0,august
1083728,5.0,may-july
1081078,2.0,july-august
3GJ7372|L031|T14A,1.0,july
3NCN7R02876|NC204|XXL,4.0,may
909300700080,0.0,january
9-2077004015,1.0,july
9-2077004141,9.0,january
9-4007005135|EE0004|54 ΕΚ,3.0,july-august
9-4447000244|EE2133|080,2.0,may
9-4577000030|EE0018|378,6.0,july
9-4853000428|ED5074|44,1.0,december
9-4862000726,3.0,october-november
9-4862000895,5.0,april
9-4862000898,6.0,april
9-4866000068,2.0,september-october
9-4896001610,9.0,april
9-4896003457,10.0,october-november
9-4985000051,1.0,april
9-4985000181,2.0,august
9-4985000616,1.0,january
9-4985000846,2.0,april
1042455,2.0,december
1082666,3.0,november
1083351,5.0,january-december
1083442,2.0,february
1082824,2.0,august
1083792,2.0,may
3G9960351|G0130|4345,6.0,april-may
3GW4150348|G0113|42,1.0,may
3GW4200290|G0005|XL,1.0,may
3GW920004000|G0246|S,1.0,july
3NCN1R02916|NC908|L,3.0,may
3NCN1R02923|NC459|XXXL,0.0,may
9-2077003898,8.0,may
9-3308012138|EE0018|3XL,0.0,july
9-3309010162|ED8716|100,2.0,may
9-3309010170|ED2405|085,1.0,may
9-4447000206|ED2061|070,1.0,august
9-4624000042,3.0,june-july
9-4631000150,1.0,december
9-4862000526,3.0,january
9-4862000742,1.0,february
9-4862000917,2.0,january
9-4896001568,12.0,october-november
9-4896001845,11.0,january
9-4896003780,6.0,january
9-4896003942,2.0,july
9-4985000044,2.0,november
9-4985000222,2.0,november
9-4985000510,2.0,may
9-5308000000|EB0180|30/32,1.0,april
1050298,4.0,may
1081083,3.0,august-september
1082472,7.0,november-december
1082623,3.0,june-july
1082847,4.0,may
1083721,2.0,june
1058504,7.0,december
1083385,3.0,july
1083552,2.0,july
1083560,2.0,june-july
1083766,7.0,july
3G9960267|G0110|4042,1.0,july
3NU5010HK|LGQ45|T00,1.0,may
925278503511,0.0,november
9-3008000543,2.0,january
9-3308012138|EE0018|XL,0.0,april
9-4156001334|EA6234|OSZ,1.0,february
9-4447000231|EE2133|080,1.0,april
9-4625000032,1.0,september
9-4862000730,1.0,january-february
9-4896003758,16.0,october
1053265,3.0,august
1081086,3.0,october-november
1081106,3.0,november-december
1081709,2.0,march-april
1082427,4.0,may
1082433,4.0,april-may
1082562,2.0,december
1082649,6.0,november
1083581,1.0,april
1083750,3.0,may
1083663,3.0,march
3PF7184|L70V|T42,1.0,may
909278800064,0.0,april
9-2077004054,1.0,november
9-2077004118,3.0,july
9-2077004199,1.0,november
925241800180,0.0,november-december
9-3008000588,5.0,october-december
9-4358000149|EE0019|85,1.0,april
9-4491000539|EA5880|1,0.0,february
9-4508000671|EE0033|XL,1.0,may
9-4690000186|EE0018|M,5.0,may
9-4862001043,0.0,march-april
9-4862001072,5.0,may
9-4896003449,0.0,june-july
9-4896003558,7.0,january-february
9-4896003897,15.0,january
9-4896003920,6.0,july
9-4896003937,11.0,january-february
9-4896003954,7.0,june
9-4985000194,2.0,november
1036025,3.0,november-december
1048847,6.0,may
1059773,5.0,july-august
1059783,2.0,september
1059800,3.0,november-december
1059941,3.0,april
12310242,3.0,august-september
12310766,2.0,january
12310837,33.0,february
3EF9621|L166|T40,0.0,april-may
3FJ5242|L166|T14A,1.0,july
3G2009027|G0239|XXL,2.0,august
3G2013033|G0113|M,3.0,june
3GU902513003|G0457|M,1.0,april
3XF7260|LHHW|T36,2.0,july
3XF7260|LHHW|T42,0.0,february
9-0280000522,1.0,february-march
9-0527009920|EE1754|11,1.0,april
9-4623000117,1.0,november
9-4669000930|ED7422|24M,1.0,may
9-4669000937|ED7426|14,0.0,may
9-4724000011|EE0379|L,1.0,july
9-4724000012|EB2698|70,1.0,november
9-4896000697,6.0,january
9-4896002020,11.0,june
9-4896004132,3.0,january-february
9-4896004264,8.0,november
9-4896004422,5.0,april
9-4896004635,1.0,october-november
9-4896004636,11.0,january-february
9-4896004668,13.0,october-november
9-4896004697,7.0,january
9-4896004703,22.0,march
9-4896004753,1.0,april
9-4896004958,12.0,january-december
9-4896005269,7.0,april-may
9-4896005322,7.0,march-april
9-4896005347,6.0,march-may
9-4896005348,7.0,march-april
9-5035000007|EE0018|38,1.0,july
9-5037000064|EE1059|22,2.0,april
959300800272,1.0,november-december
989278502794,1.0,july
989278502902,1.0,september-october
1059829,4.0,april
1059902,3.0,september
12310063,10.0,july
12310250,14.0,august-september
12310271,7.0,november-december
12310340,4.0,july-august
35H1803|LP52|TM,1.0,february
35H3413|L525|TL,1.0,january
3CH2936|L522|T40,3.0,july-august
3GW4100224|G0113|29,1.0,may
9-0280000516,2.0,january
9-3308011758|EE0034|32,0.0,february
9-3308011758|EE0034|34,1.0,june-august
9-4621000230,0.0,november
9-4669001017|EB4374|5,0.0,april
9-4896000434,2.0,september-december
9-4896001100,6.0,april
9-4896001937,9.0,january-december
9-4896002096,1.0,july
9-4896004068,9.0,july
9-4896004202,6.0,january-december
9-4896004409,6.0,october
9-4896004426,6.0,october
9-4896004445,6.0,july-august
9-4896004761,14.0,january-december
9-4896004763,9.0,october-november
9-4896005202,1.0,february-may
9-4896005203,8.0,march
9-4896005258,2.0,march
9-4896005270,6.0,april
9-4896005314,5.0,april
9-4896005323,0.0,april-may
9-4896005342,13.0,april-may
9-5036000103|EE0019|42,0.0,january-december
989300800439,0.0,january
1053769,5.0,october
1054432,2.0,march
1080650,2.0,november
1080846,4.0,november-december
1080947,6.0,november-december
1084522,1.0,november
1084640,4.0,november-december
12307100,2.0,november-december
12308707,1.0,december
3NCK41050|NC7CN|XXL,4.0,may
900278504445,1.0,january
900278800843,1.0,april
900278800892,1.0,april
9-3309010077|EE0039|090,2.0,august
9-3369027370|EE0321|9-10,0.0,may
9-3370026273|EE0055|5-6,0.0,march-may
9-3370026280|EE0334|7-8,0.0,march
9-3548000573|EE0018|85,1.0,march
9-3548000573|EE0019|80,1.0,january
9-3970008508|EA4172|42,0.0,may
9-4580000022|EE0019|356,3.0,july-august
9-4620000186,1.0,april
9-4824001926|EE1176|3634,1.0,may
9-4879000293|ED4799|40,1.0,february
9-4896001200,7.0,june-july
9-4896001270,13.0,september
9-4896001347,11.0,february
9-4896001384,6.0,july-august
9-5142000017|EE6931|XL,4.0,july
9-5142000209|EE6531|XXL,2.0,may
1045105,3.0,june
1046806,2.0,june
1054083,3.0,december
1080348,5.0,october-december
1080928,6.0,november
1081004,1.0,december
1084125,5.0,july-august
1084136,3.0,june
1084339,2.0,september-november
1084465,1.0,april
1084686,2.0,april-may
1085074,2.0,april
1084135,3.0,november-december
1084224,4.0,july
12307654,12.0,november-december
3TH8725|LC7Z|TXL,2.0,may
900278801017,1.0,april
9-2077003526,1.0,november
9-2077003687,4.0,november
9-3309010077|EE0039|110,1.0,april
9-3309010104|EC2790|075,1.0,may
9-3369027385|EE0051|4-5,1.0,april
9-3548000331|EE0848|L/XL,1.0,july
9-3970008519|EE0056|44,0.0,may
9-4577000197|EC1102|412,2.0,august
9-4730000353|EE0847|1SZ,1.0,february
9-4824001972|EC3366|3432,0.0,april
9-4896000008,15.0,february
9-4896001137,6.0,october
9-4896001151,13.0,september
9-4896001170,10.0,august
9-4896001258,20.0,october-december
9-4896001339,18.0,march-april
9-5142000002|EE2707|3132,3.0,july
9-5143000004|EA8877|2730,1.0,july
9-5143000030|EE2554|2928,1.0,august
1045100,1.0,november
1045978,2.0,april
1053909,0.0,october
1053952,3.0,june
1058680,3.0,may
1058733,4.0,december
1080509,3.0,december
1081024,5.0,november
1084017,3.0,april
1084378,2.0,november-december
1084331,2.0,february
1084459,2.0,april
1084368,1.0,september-october
1080971,2.0,may-july
1081042,3.0,june
12303128,34.0,january-february
12307619,14.0,july
3412802952038|P0000|L,1.0,february
900278504363,1.0,august
900278504580,0.0,april
9-3309010134|ED2080|110,1.0,june
9-3369027388|EE0321|5-6,0.0,may
9-3548000347|EE0848|75,2.0,july
9-4508000805|EE0019|XXL,0.0,may
9-4508000818|EE0019|M,2.0,april
9-4730000405|EE0847|1SZ,3.0,february
9-4952000144|ED9547|30,1.0,april
9-5142000007|EE6705|3332,3.0,february-march
9-5142000017|EE6931|M,4.0,march
9-5142000019|EE3264|L,6.0,january
9-5142000021|EE2556|S,3.0,may
9-5142000207|ED1178|M,3.0,may
9-5143000030|EE2554|2726,1.0,april-may
9-5143000119|EE6539|S,1.0,march
9-5143000184|EE1411|S,2.0,may
979240500406,1.0,january
979278502508,2.0,january-december
1045099,3.0,november
1045111,4.0,september
1047084,6.0,november-december
1058666,4.0,july
1059021,2.0,july
1080986,5.0,november-december
1083978,7.0,april-may
1080647,3.0,june
3412802952038|P0000|M,1.0,may
3G7006299|G0005|XXL,1.0,july
900240501502,2.0,november
900241800280,0.0,november-december
900278504443,0.0,november
9-2077003752,4.0,november
9-3309010137|ED2083|105,1.0,august
9-3309010146|ED2405|075,1.0,june
9-3369027393|EE0321|5-6,0.0,may
9-4580000023|EE1616|434,2.0,august
9-4620000168,1.0,april
9-4824001973|ED7844|3632,0.0,april
9-4896001122,8.0,august
9-4896003089,7.0,january-february
9-5142000019|EE3264|M,5.0,april-may
9-5143000017|EE1411|S,3.0,december
9-5143000181|EE1415|M,1.0,april
9-5143000186|EE6036|27,1.0,may
9-5168000021|EE2272|12,1.0,may
979278502442,0.0,january-december
979278502569,1.0,april
1031256,3.0,june
1032489,3.0,may
1051508,3.0,october
1056718,1.0,june
10694562,1.0,may-june
10698176,0.0,march-april
3200951368001|P0000|M,1.0,may
1080260,3.0,october
3G2003321|G0362|XXL,1.0,may
3G9940155|G0274|100,4.0,august
3GW4200560|G0433|XL,1.0,april
3NCK41050|NC4NN|XXL,4.0,may
3NCK41050|NC4NV|XXXL,3.0,june-july
3NCT71053|NC40P|L,6.0,july
3NCT71053|NC4NV|L,10.0,may
3NCT71053|NC6NR|XXXL,1.0,may-june
3TJ2567|LXFJ|T12A,1.0,january-february
3TJ8460|L001|T12A,2.0,may
900240501143,1.0,january
900240501228,1.0,june-july
9-0995032331|EE0005|14,1.0,june
9-0995032940|EE0319|4,2.0,may
9-0995033087|EE1161|12,1.0,may
9-2212001987|EE0848|.,2.0,may
9-2554002598,1.0,april
927240500975,0.0,july
9-3007002604,0.0,april
9-3007002997,1.0,december
9-3007003310,1.0,february
9-3007003368,1.0,april-may
9-3308012424|EE3391|S,4.0,august
9-3308012424|EE3391|XL,9.0,june-july
9-3308012427|EC6144|S,3.0,july-september
9-3308012430|ED2066|S,3.0,july-august
9-3308012439|EC6144|XXL,2.0,july
9-3308012475|EE0034|XXL,1.0,january
9-3308012520|EE0034|L,4.0,june-july
9-3308012623|EE0019|L,1.0,february
9-3371019118|EE0051|13-14,0.0,april
9-4065001415|EE0019|M8/W10,1.0,march
9-4065001416|EA8340|M7/W9,2.0,february
9-4574001587|ED8047|4,0.0,february
9-4574001602|EE1161|8,1.0,may
9-4574001606|EC6825|9,1.0,may
9-4685000656,0.0,june-july
9-4825001355|EE0018|MEDIUM,1.0,july
9-4825001721|ED7765|3432,1.0,march
9-4825001793|EE4255|3232,0.0,may
9-4862000063,1.0,october
9-4862000132,1.0,april
9-4862000195,3.0,january
9-4896001401,14.0,october-december
9-4896001465,33.0,november-december
9-4896001483,34.0,october-december
9-4896002305,31.0,august
9-4896002457,5.0,june
9-4896002544,2.0,june-july
9-4896002564,2.0,november
9-4947000456|EE1149|XL,1.0,may
9-5103000041|ED7645|39,0.0,march
9-5237000007,14.0,september-october
9-5268000033|EE0058|36,1.0,april
9-5269000053|EE0019|M,1.0,may
1013645,4.0,may
1051687,5.0,june-july
1051931,3.0,november-december
1051937,2.0,march
1052041,2.0,october
1052637,5.0,june
1080214,1.0,may-august
37-49SFA00531R7|0000|5,0.0,april
3200876606005|P0000|6,1.0,april
3200932225002|P0000|M,1.0,may
3CF3264|L70V|T44,1.0,february
3G2003299|G0433|M,2.0,march
3G2003339|G0433|3XL,1.0,may
3NCK41050|NC4NV|L,15.0,june-july
900240501165,1.0,july
9-0995032842|EE0014|2,1.0,may
9-0995032898|EE0215|18,1.0,march
9-2554002537,1.0,april
927240500976,1.0,july-august
9-3006000647,1.0,july
9-3007002845,1.0,january
9-3007002919,1.0,july
9-3007003308,0.0,february
9-3007003365,1.0,april
9-3308012424|EE3391|L,10.0,july
9-3308012430|ED2066|XL,7.0,july-august
9-3308012433|EE0039|32,1.0,july-august
9-3308012434|EE0034|40,1.0,june-july
9-3308012457|EE0019|L,4.0,july
9-3308012466|EE0034|XXL,2.0,july-august
9-3308012682|ED0251|XXL,3.0,may
9-3308012694|EC6143|34,1.0,april
9-3371018454|EE0018|14-15,1.0,july
9-3371018891|EE0019|13-14,1.0,august
9-4137001136|ED1034|C13,1.0,july
9-4574001606|EC6825|5,1.0,may
9-4598000454|EE8277|39,1.0,july-august
9-4599000533|EE0245|2-4,1.0,february
9-4825001721|ED7765|3632,0.0,february
9-4862000197,5.0,july-september
9-4862000355,1.0,november
9-4896001392,17.0,january-december
9-4896002267,11.0,january-february
9-4896002270,2.0,october
9-4896002298,16.0,july-october
9-4896002301,22.0,october-november
9-4947000271|EE1149|52,2.0,july
9-4947000271|EE1149|56,1.0,august
9-4947000330|EE1149|ONESI,3.0,january-december
9-4947000428|EA1874|36,1.0,april
9-4947000456|EE8277|L,4.0,april
9-4947000485|EE1149|50,1.0,april
9-5103000016|ED1045|37,1.0,september
9-5235000017|EE1149|OS,2.0,january
9-5268000033|EE0058|38,2.0,may
982255402200,2.0,april
1057938,8.0,july
1082440,2.0,june
1083379,2.0,june
1083553,6.0,november
1083601,3.0,july
1083383,8.0,june
3250769904002|P0000|4,2.0,january
3G2062034|G0433|L,4.0,june-july
3J306172|B166BL|T56,0.0,november-december
9-2077003952,3.0,march
9-2077004059,2.0,january
9-2077004128,2.0,april
9-2077004200,1.0,october-november
9-2077004287,1.0,march-may
925278503505,1.0,july-august
9-3008000537,2.0,december
9-4007005436|EE0011|18,0.0,may
9-4357000365|EE0438|XXL,1.0,may
9-4624000056,2.0,august
9-4630000183,1.0,february
9-4686000694|EB4374|L,0.0,march
9-4690000119|EE4920|OS,39.0,february-march
9-4842000611|EA0556|8,1.0,may
9-4867000070,0.0,august-september
9-4896001786,5.0,may-july
9-4896003463,11.0,january-december
9-4896003867,11.0,august-october
9-4985000039,3.0,october-november
9-4985000793,2.0,april-may
9-5287000028|EE0847|.,1.0,january
9-5289000006,4.0,february
9-5289000008,4.0,january-december
959207703007,1.0,january
1082833,3.0,november
1083317,5.0,september-december
1083556,3.0,august-october
1083689,5.0,march
3GW4200262|G0433|M,3.0,february
3NCN1R02923|NC459|XXL,4.0,may
909278800086,1.0,july
9-2077003978,5.0,july
9-2077004203,2.0,february
9-4007005475|EE0009|3,1.0,may
9-4357000635|EE0019|M,1.0,november
9-4559001521|EE0019|T/U,2.0,january
9-4630000167,1.0,april
9-4686000835|EB0180|M,1.0,november
9-4862000967,3.0,january
9-4896001608,9.0,march
9-4896001659,80.0,september
9-4985000562,2.0,november
9-5289000042,5.0,january
1043506,1.0,october
1057800,2.0,september-october
1058493,5.0,november-december
1082653,2.0,november-december
1083637,4.0,july-august
1083720,2.0,september
1083820,15.0,june-july
1082443,3.0,april
3NCN1R02923|NC400|XXL,2.0,april
3NCN7R02861|NC158|M,1.0,april
9-2077004254,2.0,august
925278503273,1.0,april-june
925470700044,1.0,april
9-2889014416|EE0018|L,1.0,may
9-3008000506,3.0,november-december
9-3233002385|ED7489|U,0.0,april
9-3308011911|EE0018|3XL,1.0,july-august
9-3308011948|EE3391|L,6.0,july
9-3309010175|ED8729|120,0.0,may
9-4156001318|EE1149|OSZ,1.0,may
9-4357000369|EE0019|S,2.0,november
9-4617000141|EC3626|39,1.0,april
9-4631000274,1.0,april
9-4686000697|EB4374|M,0.0,july
9-4842000606|EE0001|2,1.0,may
9-4862000725,4.0,march-april
9-4862000959,2.0,september-october
9-4896001602,25.0,july-august
9-4896001835,5.0,january
9-4896003552,6.0,january-december
9-4896003559,10.0,october-november
9-4896003949,10.0,june-august
9-4985000145,1.0,november-december
9-4985000184,2.0,november-december
9-4985000585,2.0,july
9-4985000594,3.0,december
9-4985000798,1.0,december
9-5084000082|EE0019|ONE SIZE,1.0,october
1054602,0.0,june-july
1058284,2.0,may
1058378,3.0,may
1058487,4.0,december
1081085,4.0,june-july
1081987,2.0,november-december
1082620,2.0,june
1083165,3.0,june-july
1083755,1.0,december
1083322,6.0,april
1083548,3.0,july
1083585,8.0,august-september
1083600,3.0,june-july
3G2062034|G0433|M,3.0,july
3GJ9820|L166|T6A,1.0,july
3NCN1R02955|NC722|M,1.0,may
3SW202404|B240RD|TM,1.0,june-july
9-2077003886,2.0,june
9-2077004050,2.0,june
925278503286,1.0,november
9-3008000509,3.0,july
9-3008000536,1.0,february
9-3008000544,0.0,april
9-3233002258|EE6836|U,2.0,august
9-4007005488|EE0009|5,1.0,may
9-4156001350|EE1149|OSZ,2.0,may
9-4357000043|EE0438|S,2.0,january
9-4358000070|EE0019|L,3.0,april
9-4447000207|ED2062|060,1.0,july-august
9-4508000682|EE0018|XL,1.0,august
9-4508000692|EE0033|XL,1.0,july-august
9-4559001577|EE1357|T/U,2.0,april
9-4575000064|EE0019|PLANO,0.0,april
9-4630000184,3.0,april
9-4631000160,2.0,december
9-4631000256,1.0,january
9-4896003568,7.0,january-february
9-4896003760,1.0,january
9-4896003895,9.0,october-december
9-4985000559,1.0,november
959278501993,2.0,april
1038013,3.0,july
1048240,2.0,november-december
1049696,4.0,january-december
1056052,2.0,october-november
1056054,4.0,june
1059620,3.0,april-may
1059798,4.0,july
1059859,2.0,october
1059942,7.0,june
12308778,0.0,january
12309441,5.0,november
12309729,19.0,november
12310259,1.0,november
35H3386|LW34|TM,1.0,december
12310453,6.0,january
2-7342000048|EE9181|-,0.0,may-june
3EF9621|L001|T46,1.0,may
3G2009027|G0433|3XL,1.0,july-august
3G2013042|G0113|XXL,1.0,july
3NCV41050|NC1BW|L,8.0,april
9-3308011805|EE0039|XXL,4.0,july
9-4520000648|ED6848|38,1.0,february
9-4622000003,0.0,september-october
9-4724000053|EB2698|L,1.0,february
9-4724000053|EE0379|S,2.0,october
9-4724000059|EB2698|80,1.0,january
9-4856000129|ED9262|ONE,1.0,may
9-4857000110|EB8597|39,2.0,may
9-4857000122|EC0961|38,2.0,may
9-4896001088,3.0,january-december
9-4896001947,7.0,september
9-4896002116,0.0,january
9-4896002214,10.0,january
9-4896004072,16.0,october-november
9-4896004197,0.0,october-november
